study_id,timepoint_category,prevalence,N,iter
Morrow_2016_preterm_infants,DOL 1-8,0.1320754716981132,53,8
Morrow_2016_preterm_infants,DOL 9-42,0,20,8
PRIMAL,DOL 1-8,0.09482758620689655,116,8
PRIMAL,DOL 43-455,0.02,50,8
PRIMAL,DOL 9-42,0.271889400921659,434,8
Parnanen_2019_infant,DOL 1-8,0,1,8
Parnanen_2019_infant,DOL 9-42,0.1875,32,8
Rahman_2018_preterm_NICU,DOL 1-8,0.0967741935483871,93,8
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,8
Rahman_2018_preterm_NICU,DOL 9-42,0.11578947368421053,190,8
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,9
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,9
Gasparrini_2019_infant,DOL 9-42,0.2692307692307692,26,9
Gibson_2016_preterm,DOL 1-8,0.21929824561403508,114,9
Gibson_2016_preterm,DOL 43-455,0.0625,16,9
Gibson_2016_preterm,DOL 9-42,0.27956989247311825,93,9
Morrow_2016_preterm_infants,DOL 1-8,0.16981132075471697,53,9
Morrow_2016_preterm_infants,DOL 9-42,0,20,9
PRIMAL,DOL 1-8,0.09482758620689655,116,9
PRIMAL,DOL 43-455,0.06,50,9
PRIMAL,DOL 9-42,0.27419354838709675,434,9
Parnanen_2019_infant,DOL 1-8,0,1,9
Parnanen_2019_infant,DOL 9-42,0.21875,32,9
Rahman_2018_preterm_NICU,DOL 1-8,0.0967741935483871,93,9
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,9
Rahman_2018_preterm_NICU,DOL 9-42,0.13157894736842105,190,9
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,10
Gasparrini_2019_infant,DOL 43-455,0.12698412698412698,63,10
Gasparrini_2019_infant,DOL 9-42,0.3076923076923077,26,10
Gibson_2016_preterm,DOL 1-8,0.20175438596491227,114,10
Gibson_2016_preterm,DOL 43-455,0.125,16,10
Gibson_2016_preterm,DOL 9-42,0.3010752688172043,93,10
Morrow_2016_preterm_infants,DOL 1-8,0.1320754716981132,53,10
Morrow_2016_preterm_infants,DOL 9-42,0,20,10
PRIMAL,DOL 1-8,0.08620689655172414,116,10
PRIMAL,DOL 43-455,0.04,50,10
PRIMAL,DOL 9-42,0.2672811059907834,434,10
Parnanen_2019_infant,DOL 1-8,0,1,10
Parnanen_2019_infant,DOL 9-42,0.1875,32,10
Rahman_2018_preterm_NICU,DOL 1-8,0.11827956989247312,93,10
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,10
Rahman_2018_preterm_NICU,DOL 9-42,0.11578947368421053,190,10
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,11
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,11
Gasparrini_2019_infant,DOL 9-42,0.3076923076923077,26,11
Gibson_2016_preterm,DOL 1-8,0.21929824561403508,114,11
Gibson_2016_preterm,DOL 43-455,0.0625,16,11
Gibson_2016_preterm,DOL 9-42,0.2903225806451613,93,11
Morrow_2016_preterm_infants,DOL 1-8,0.1509433962264151,53,11
Morrow_2016_preterm_infants,DOL 9-42,0,20,11
PRIMAL,DOL 1-8,0.08620689655172414,116,11
PRIMAL,DOL 43-455,0.08,50,11
PRIMAL,DOL 9-42,0.2557603686635945,434,11
Parnanen_2019_infant,DOL 1-8,0,1,11
Parnanen_2019_infant,DOL 9-42,0.1875,32,11
Rahman_2018_preterm_NICU,DOL 1-8,0.0967741935483871,93,11
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,11
Rahman_2018_preterm_NICU,DOL 9-42,0.1,190,11
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,12
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,12
Gasparrini_2019_infant,DOL 9-42,0.23076923076923078,26,12
Gibson_2016_preterm,DOL 1-8,0.21929824561403508,114,12
Gibson_2016_preterm,DOL 43-455,0.125,16,12
Gibson_2016_preterm,DOL 9-42,0.27956989247311825,93,12
Morrow_2016_preterm_infants,DOL 1-8,0.1509433962264151,53,12
Morrow_2016_preterm_infants,DOL 9-42,0,20,12
PRIMAL,DOL 1-8,0.10344827586206896,116,12
PRIMAL,DOL 43-455,0.06,50,12
PRIMAL,DOL 9-42,0.25806451612903225,434,12
Parnanen_2019_infant,DOL 1-8,0,1,12
Parnanen_2019_infant,DOL 9-42,0.1875,32,12
Rahman_2018_preterm_NICU,DOL 1-8,0.0967741935483871,93,12
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,12
Rahman_2018_preterm_NICU,DOL 9-42,0.10526315789473684,190,12
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,13
Gasparrini_2019_infant,DOL 43-455,0.12698412698412698,63,13
Gasparrini_2019_infant,DOL 9-42,0.23076923076923078,26,13
Gibson_2016_preterm,DOL 1-8,0.22807017543859648,114,13
Gibson_2016_preterm,DOL 43-455,0.125,16,13
Gibson_2016_preterm,DOL 9-42,0.27956989247311825,93,13
Morrow_2016_preterm_infants,DOL 1-8,0.16981132075471697,53,13
Morrow_2016_preterm_infants,DOL 9-42,0,20,13
PRIMAL,DOL 1-8,0.09482758620689655,116,13
PRIMAL,DOL 43-455,0.02,50,13
PRIMAL,DOL 9-42,0.2695852534562212,434,13
Parnanen_2019_infant,DOL 1-8,0,1,13
Parnanen_2019_infant,DOL 9-42,0.15625,32,13
Rahman_2018_preterm_NICU,DOL 1-8,0.12903225806451613,93,13
Rahman_2018_preterm_NICU,DOL 43-455,0.21428571428571427,14,13
Rahman_2018_preterm_NICU,DOL 9-42,0.12631578947368421,190,13
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,14
Gasparrini_2019_infant,DOL 43-455,0.12698412698412698,63,14
Gasparrini_2019_infant,DOL 9-42,0.2692307692307692,26,14
Gibson_2016_preterm,DOL 1-8,0.19298245614035087,114,14
Gibson_2016_preterm,DOL 43-455,0.1875,16,14
Gibson_2016_preterm,DOL 9-42,0.2903225806451613,93,14
Morrow_2016_preterm_infants,DOL 1-8,0.16981132075471697,53,14
Morrow_2016_preterm_infants,DOL 9-42,0,20,14
PRIMAL,DOL 1-8,0.09482758620689655,116,14
PRIMAL,DOL 43-455,0.04,50,14
PRIMAL,DOL 9-42,0.26036866359447003,434,14
Parnanen_2019_infant,DOL 1-8,0,1,14
Parnanen_2019_infant,DOL 9-42,0.1875,32,14
Rahman_2018_preterm_NICU,DOL 1-8,0.11827956989247312,93,14
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,14
Rahman_2018_preterm_NICU,DOL 9-42,0.11578947368421053,190,14
Gasparrini_2019_infant,DOL 1-8,0.3333333333333333,21,15
Gasparrini_2019_infant,DOL 43-455,0.12698412698412698,63,15
